index,category,title,question,group,url,contact,answer
0,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,ใบสมัครโครงการสำนักวิชาการ,ทุนโครงการวิจัยเชิงวิชาการที่แข่งขันได้ของ Academia Sinica มีกี่ประเภท?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2 787 2613 จาง หยวนเจิ้น 02-27872614,"ทุนสนับสนุนโครงการวิจัยเชิงวิชาการที่มีการแข่งขันของ Academia Sinica แบ่งออกเป็น 3 ประเภท ได้แก่ ประเภทแรก: การวิจัยขั้นพื้นฐานอย่างลึกซึ้ง ประเภทความเป็นเลิศ ได้แก่ โครงการคาดการณ์ล่วงหน้า โครงการบ่มเพาะเชิงลึก และโครงการวิจัยตามธีม
ประเภทที่สอง: ติดตามประเด็นสำคัญและความก้าวหน้าในสาขาที่เกิดขึ้นใหม่ รวมถึงโครงการเมล็ดพันธุ์ที่ก้าวหน้าที่สำคัญและโครงการวิจัยที่ก้าวหน้าที่สำคัญ
ประเภทที่สาม: เชิงภารกิจ ได้แก่ โครงการวิจัยทางวิทยาศาสตร์ที่ยั่งยืน โครงการวิจัยเทคโนโลยีชีวภาพเชิงภารกิจ โครงการวิจัยการตอบสนองการแพร่ระบาด โครงการสำรวจเทคโนโลยีวัสดุและการวิเคราะห์ (iMATE) และโครงการวิจัยมนุษยศาสตร์ดิจิทัล"
1,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,ใบสมัครโครงการสำนักวิชาการ,แผนใดรวมอยู่ในการแสวงหาความก้าวหน้าในประเด็นสำคัญและสาขาที่เกิดขึ้นใหม่,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,เฉิน อี้จุน 02-27872612,การแสวงหาความก้าวหน้าในประเด็นสำคัญและสาขาที่เกิดขึ้นใหม่มีสองประเภท ได้แก่ โครงการเมล็ดพันธุ์ที่ก้าวล้ำและโครงการวิจัยที่ก้าวล้ำที่สำคัญ
2,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,ใบสมัครโครงการสำนักวิชาการ,มีการวางแผนงานอย่างไร?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhang Yuanzhen 02-27872614,การวางแผนที่มุ่งเน้นงานมีการวางแผนจากบนลงล่าง โดยส่วนใหญ่อิงตามเค้าโครงของการกำกับดูแลด้านวิทยาศาสตร์และเทคโนโลยีของ Academia Sinica โครงการดังกล่าวรวมถึงโครงการวิจัยวิทยาศาสตร์ที่ยั่งยืน โครงการวิจัยเทคโนโลยีชีวภาพที่มุ่งเน้นพันธกิจ โครงการวิจัยการตอบสนองต่อโรคระบาด โครงการสำรวจวัสดุและเทคโนโลยีเชิงวิเคราะห์ และโครงการวิจัยมนุษยศาสตร์ดิจิทัล ในแง่ของการจัดสรรเงินทุน การเตรียมการจะดำเนินการตามประเภทโครงการ การรวมบุคคลหรือทีม ขนาดและความลึก การประเมินผลประโยชน์ และเงื่อนไขอื่น ๆ และจะแก้ไขตามผลการวิจัยของการทบทวนโครงการ
3,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,ใบสมัครโครงการสำนักวิชาการ,ผลการวิจัยภาคปฏิบัติที่เกี่ยวข้องของการทบทวนโครงการจะส่งผลต่อการจัดสรรทุนอย่างไร?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-2 787 2613 จาง หยวนเจิ้น 02-27872614,ผลการวิจัยเชิงปฏิบัติที่เกี่ยวข้องของการทบทวนแผนจะส่งผลต่อการจัดสรรเงินทุน เนื่องจากประสบการณ์ที่ผ่านมาและการวิเคราะห์และการทบทวนจะถูกอ้างถึงเมื่อจัดสรรเงินทุน จากนั้นแผนการจัดสรรเงินทุนจะถูกแก้ไขตามผลการวิจัยที่ทบทวนแล้ว สิ่งนี้สามารถรับประกันได้ว่ากองทุนสามารถสนับสนุนโครงการวิจัยประเภทต่าง ๆ ได้อย่างมีประสิทธิภาพและบรรลุผลการวิจัยที่ดีขึ้น
4,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนแบบที่ 1 และแบบที่ 2,ฉันต้องการสมัครทุนโครงการประเภทแรกและประเภทที่สอง ฉันจะเริ่มอย่างไร,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,หากคุณต้องการสมัครทุนโครงการประเภทที่หนึ่งและประเภทที่สอง ก่อนอื่น คุณสามารถสอบถามเกี่ยวกับประเภทของทุนสนับสนุนโครงการวิจัยเชิงวิชาการที่แข่งขันได้ของ Academia Sinica ซึ่งแบ่งออกเป็นโครงการคาดการณ์ล่วงหน้า โครงการพัฒนาเชิงลึก โครงการวิจัยตามธีม และ โครงการเมล็ดพันธุ์แห่งความก้าวหน้าที่สำคัญและโครงการวิจัยที่สำคัญ โครงการวิจัย Breakthrough คุณสามารถไปที่เว็บไซต์นี้เพื่อดูข้อมูลเพิ่มเติม: https://sub.daais.sinica.edu.tw/grants/index.html เมื่อสมัครแล้วให้เข้าสู่ระบบการจัดการบริการวิชาการของ Academia Sinica ที่ https://asms.sinica.edu.tw/ จากนั้นทำตามคำแนะนำของระบบเพื่อนำไปใช้
5,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนไปข้างหน้า,ฉันจะเข้าร่วมโปรแกรมนี้ได้อย่างไร?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,ในการเข้าร่วมโปรแกรมนี้ ก่อนอื่นคุณต้องเป็นผู้ช่วยนักวิจัยเต็มเวลา นักวิจัยที่ไม่ถาวรของ Academia Sinica หรือผู้ช่วยวิจัยที่เพิ่งได้รับคัดเลือกหรือนักวิจัยสมทบที่ไม่ถาวรที่สถาบันวิจัยและศูนย์วิจัยต่างๆ ของ Academia Sinica ถัดไป สมัครในช่วงเดือนมีนาคมถึงเดือนพฤษภาคมของทุกปี ยื่นหนังสือแสดงเจตจำนงในต้นเดือนเมษายน จากนั้นขอให้หน่วยแนะนำส่งข้อมูลแผนกระดาษในต้นเดือนพฤษภาคม หลังจากนั้นก็ถึงเวลารอการตรวจสอบเบื้องต้นเป็นลายลักษณ์อักษร การตรวจสอบซ้ำ และขั้นตอนการตรวจสอบขั้นสุดท้าย ในเดือนพฤศจิกายน แอปพลิเคชันที่ผ่านการตรวจสอบจะประกาศ และแผนการที่ผ่านการตรวจสอบจะดำเนินการในเดือนมกราคมของวันถัดไป ปี. อย่าลืมเตรียมข้อเสนอการวิจัย ประวัติส่วนตัวและแค็ตตาล็อกของผลงานสำคัญ ตลอดจนจดหมายรับรองและรายงานการประชุมที่เกี่ยวข้องเมื่อสมัคร สำหรับข้อมูลเพิ่มเติมและวิธีการสมัคร โปรดไปที่เว็บไซต์ที่เกี่ยวข้องของ Academia Sinica
6,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนไปข้างหน้า,เอกสารการสมัครมีอะไรบ้าง?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,เอกสารประกอบการสมัครประกอบด้วยข้อเสนอการวิจัย ประวัติย่อส่วนบุคคล และแค็ตตาล็อกของผลงานสำคัญในช่วงไม่กี่ปีที่ผ่านมา ตลอดจนจดหมายแนะนำตัวและรายงานการประชุมธุรกิจของสำนักงานหรือศูนย์
7,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนไปข้างหน้า,เปิดรับสมัครรายปีเมื่อไหร่?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,ระยะเวลาการสมัครคือตั้งแต่เดือนมีนาคมถึงเดือนพฤษภาคมของทุกปี และจะต้องส่งหนังสือแสดงเจตจำนงในช่วงต้นเดือนเมษายน
8,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนไปข้างหน้า,วงเงินสูงสุดของเงินทุนสำหรับโครงการนี้คือเท่าไร?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,วงเงินสูงสุดสำหรับโครงการนี้คือ 5 ล้านเหรียญไต้หวัน
9,ใบสมัครโครงการสำนักวิชาการ - โครงการประเภทที่ 1 และประเภทที่ 2,แผนไปข้างหน้า,ฉันจะหาข้อมูลเพิ่มเติมเกี่ยวกับรายละเอียดของโปรแกรมได้ที่ไหน?,นักวิชาการ,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,สำหรับรายละเอียดเพิ่มเติมเกี่ยวกับโปรแกรม โปรดดูที่เว็บไซต์นี้: https://sub.daais.sinica.edu.tw/grants/cda.html
