index,category,title,question,group,url,contact,answer
0,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,"In what year was the ""Central Research Lecture-Cross-County and City Science Popularization Lecture"" held?",Life,None,Miss Guo 2633,The cross-county and city popular science lectures in the Zhongyan Lecture Hall have been held since 107.
1,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,What is the main purpose of holding this event?,Life,None,Miss Guo 2633,The main purpose of holding this event is to allow students from other counties and cities to hear the research lectures of Academia Sinica without being affected by the gap between traffic and urban and rural areas.
2,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,"So far, which counties and cities have held this event?",Life,None,Miss Guo 2633,"Sorry, the counties and cities where the event has been held are not clearly listed according to the information provided, but 9 counties and cities have been visited so far."
3,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,What is the average number of applicants for each speech?,Life,None,Miss Guo 2633,The average number of applicants for each speech is about 300 people.
4,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,What was the highest view count for a speech video?,Life,None,Miss Guo 2633,"The highest number of views of the speech film has reached nearly 70,000 times."
5,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,How will Academia Sinica organize this event in the future?,Life,None,Miss Guo 2633,"In the future, Academia Sinica will continue to plan and hold this event, and give priority to holding it in counties and cities that have not been visited yet. The first event this year will be held at Wuling High School in Taoyuan. The specific registration information will be announced on the official website and official Facebook account of Academia Sinica."
6,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,Where will the first event of the year be held?,Life,None,Miss Guo 2633,The first event this year will be held at Wuling High School in Taoyuan.
7,Popular science activities,Zhongyan Lecture Hall──Science popularization speeches across counties and cities,Where will the detailed registration information be announced?,Life,None,Miss Guo 2633,Detailed registration information will be announced on the official website and official Facebook account of Academia Sinica.
8,Popular science activities,campus open,When will this year's campus open event be held?,Life,None,Miss Wang 9727,This year's Campus Open Event was held on October 21st.
9,Popular science activities,campus open,What kinds of popular science activities will there be on the day of the event?,Life,None,Miss Wang 9727,"On the day of the event, there will be many types of popular science activities, such as speeches, workshops, exhibitions, video appreciation, interactive experiences, handicrafts and parent-child games, etc. And some activities can also be attended online!"
