category,title,context,group,url,contact
交通,院區停車,"進入中央研究院院區之汽車，除公務、國定例假日或情況特殊經中央研究院核准者外，應依下列標準繳交通行費：
定期收費：一般收費區每年新臺幣2800元。優惠收費區每年新臺幣1400元。限中研院員工申請。
計時收費：收費時段為上班日之7時至22時，每小時新臺幣20元，第1小時未滿30分鐘者，免收費用，自第2小時起，每小時未滿30分鐘，以半小時新臺幣10元計費，超過30分鐘後，以1小時新臺幣20元計費。

定期收費申請，請至總務處網頁下載停車證申請表，填寫後洽單位窗口核章，再送總務處申請，核准後將另行通知領取停車證及繳費。

院區汽車通行及停放違規之處理方式如下：
紀錄車輛違規情形外，得加鎖並加收通行費新臺幣200元整。
使用過期通行證者，應自期限日之翌日，依計時收費標準收費；偽(變)造通行證者，應自所偽(變)造通行證之日起，依計費收費標準收費。拒繳者，在一定期間內，暫停其汽車在院區通行、停放之權利。

院區機車通行管理方式：
除警局、駐警小隊之公務巡邏車、身障機車外，其餘機車一律不准在院區內通行。
除緊急事件經特准進入院區之機車外，其餘機車應停駐指定之機車專用停車場。",生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432
交通,交通資訊,"有關中央研究院所在位置、各種交通資訊及院區導覽簡介，請參閱：https://www.sinica.edu.tw/ch/articles/37

中央研究院所在地址 11529 台北市南港區研究院路二段128號

中央研究院景點或設施可參考院區導覽地圖https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf",生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827
住宿,宿舍資訊,"提供新聘之研究人員及研究技術人員於到任5年內得隨時借用新聘學人宿舍，借用期間7年。網址：https://dorm.apps.sinica.edu.tw/

新聘研究人員於到任5年內得隨時借用新聘學人宿舍(區分成單房間與多房間2類)，但僅能借用單房間與多房間新聘學人宿舍各1次。亦即，借用新聘單房間宿舍者，搬離後不能再借用新聘單房間宿舍，但是，在到院5年內仍可借用新聘多房間宿舍。

借用新聘學人宿舍有條件限制，可轉借其他種類宿舍。借用規定詳閱「中央研究院宿舍管理要點」。網址：https://dga.sinica.edu.tw/posts/78695

目前各式宿舍借用申請，尚未開放線上申請，請先洽詢各所中心宿舍承辦人請其代為申請。 

借用宿舍需支付相關費用。規定詳閱「中央研究院宿舍收費基準」。 網址：https://dga.sinica.edu.tw/posts/78696

宿舍不提供家具及家電等設備，宿舍有停車場可申請付費借用、網路可向資訊服務處申請免費使用。

請透過各所中心宿舍承辦人請其發公文代為申請宿舍借用。

有關退宿應辦理事項如下：
借用人辦理退宿時請清除留置於宿舍之物品及大型廢棄物，回復宿舍原狀並騰空辦理交還。
歸還宿舍鑰匙時應檢具截至退宿日止之水、電、瓦斯費用(結清前請先拍下各錶的使用度數)，結清後的收據影本交由所上發函辦理退宿事宜。
如設籍宿舍地址，請至戶政事務所辦理戶籍遷出登記。

請透過各所中心宿舍承辦人了解新聘學人宿舍的地理位置及交通方式。",生活,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705"
通訊,行動電話通信費補助,"中央研究院補助員工行動電話通信費，應依照「行政院及所屬各機關行動電話通信費處理原則」及「中央研究院行動電話通信費處理原則補充規定」辦理。

中央研究院院長及副院長之宿舍電話通信費由中央研究院支應；職務及單身宿舍之電話通信費由借用人自行負擔。

中央研究院各單位人員之住宅家用電話通信費，自行負擔。

中央研究院負擔行動電話通信費之對象，包括院長、副院長；學術諮詢總會執行秘書、副執行秘書；研究所所長、副所長；研究所籌備處主任、副主任；研究中心主任、副主任；秘書長、副秘書長、各處、室、中心單位主管；院長、副院長及秘書長之專屬駕駛。

因特殊業務之承辦人，得專案簽請院長或其授權人員核定後比照之。

中央研究院負擔行動電話通話費之限額：
院長、副院長及院本部秘書長全額補助。
學術諮詢總會執行秘書、副執行秘書；研究所所長、副所長；研究所籌備處主任、副主任；研究中心主任、副主任；副秘書長、各處、室、中心單位主管等，每月補助新臺幣1000元。
院長、副院長及秘書長之專屬駕駛每月補助新臺幣500元。
如因業務特殊得專案簽請院長或其授權人員核定後補助之。

業務特殊需申請電話通信費請提交中央研究院補助行動電話通信費申請表，表單內容請參考以下網址 (https://dga.sinica.edu.tw/posts/78974)

以上所有由中央研究院負擔行動電話通信費之門號，應以中央研究院名義登記。

中央研究院行動電話通信費處理原則補充規定詳細內容請參考以下網址 (https://dga.sinica.edu.tw/posts/78724)",生活,https://dga.sinica.edu.tw/posts/78974,02-2789-9730
館場,幼兒園,中央研究院附設臺北市私立幼兒園共設有小班、中班、大班及混齡班共4班，每班30名幼兒，每年4月下旬公告招收小班及混齡班新生，招收對象為滿3-6歲之幼兒，以學籍年齡（以臺北市教育局公佈每學期入學年齡為準）換算足歲幼兒入學。網址：https://kindergarten.sinica.edu.tw/,生活,https://kindergarten.sinica.edu.tw/,02-2787-1451
館場,托嬰中心,私立中研斑比亞托嬰中心委託社團法人台北市兒童及少年全方位發展協會營運管理，招收對象為滿2足月至未滿2足歲之幼兒35名，提供本院同仁托嬰需求。電話：02-2790-8009,生活,https://dga.sinica.edu.tw/posts/142031,02-2790-8009
館場,學術活動中心,"中央研究院學術活動中心位於台北市南港區，交通資訊詳如網頁說明(https://dga.sinica.edu.tw/pages/1388)

學術活動中心網址：https://dga.sinica.edu.tw/posts/78725

學術活動中心設置120間客房、1間劇院型大禮堂及5間會議室。

中央研究院不定期於學術活動中心舉辦藝文活動，相關訊息可參考中央研究院網頁。(https://www.sinica.edu.tw/ch)

學術活動中心內美食街依各廠商推出多樣性餐點，最新進駐廠商名單可參考學術活動中心網頁。(https://dga.sinica.edu.tw/pages/1391)

學術活動中心客房中央研究院員工享有院內價訂房(https://dga.sinica.edu.tw/posts/78730)

學術活動中心各餐廳廠商提供的員工優惠價，請參考學術活動中心網頁。(https://dga.sinica.edu.tw/pages/1391)

有關學術活動中心的最新資訊請進入中研院學術活動中心網頁，點選最新消息。(https://dga.sinica.edu.tw/pages/1389)",生活,https://dga.sinica.edu.tw/posts/78725,02-2785-2717#9
館場,蔡元培紀念館,"蔡元培紀念館在胡適院長任內籌資興建，並於1960年落成，是本院早年召開院士會議及評議會的所在地。

地址: 11529台北市南港區研究院路二段128號，中央研究院院內

蔡元培紀念館位在中央研究院院內，沿著數理大道直行，自資訊科技創新研究中心旁斜坡上行即可找到目的地。",生活,https://dga.sinica.edu.tw/posts/116964,02-2785-2717#4028
館場,嶺南美術館,"嶺南美術館展出嶺南畫派近百年來的作品，觀眾可以藉此了解嶺南畫派的起源與發展。

嶺南美術館開館時間週二至週五12：00~17：00；週六10：00~17：00；週日、週一及國定假日休館。

嶺南美術館網址：https://lnfam.sinica.edu.tw",生活,https://lnfam.sinica.edu.tw,02-2789-9937
館場,綜合體育館,"綜合體育館提供的運動設施包括籃(排)球場、網球場、羽(桌)球場、健身房、韻律教室、PU室內慢跑道、標準游泳池等。

員工在綜合體育館可以享受院內優惠價，詳請請連結網址參考收費價目表。(https://dga.sinica.edu.tw/pages/1396)

綜合體育館設施開放時間：每日上午 06：00至晚上22：00 。
綜合體育館泳池開放時間：每日上午 06：00至晚上21：30 。
綜合體育館泳池清潔時間：每日上午11：30至12：00及16：30至17：00。
綜合體育館休館時間：每週一早上06：00至中午12：00及春節休館。

綜合體育館僅供場地租借，沒有開設課程。

以院內電子信箱上網註冊帳號後即可自行線上租借場地。(https://gym.dga.sinica.edu.tw/login.html)

院內有韻律組康樂會，有定期開設韻律課程可利用。

室內慢跑道位於綜合體育館2樓，內圈138公尺、中圈144公尺、外圈150公尺。

綜合體育館有開放一般民眾使用相關價位，請參考體育館網頁收費價目表。(https://dga.sinica.edu.tw/pages/1396)

中央研究院員工請攜帶識別證進入綜合體育館使用，可憑證收取院內優惠價。

綜合體育館僅開放1樓大廳可食用輕食，其餘各設施皆有規範，不得攜帶飲料、食品入場，礦泉水及運動飲料除外並請小心飲用。",生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328
