index,category,title,question,group,url,contact,answer
0,海外出張にかかる費用,行政院法規,この行政元規定は、特に各機関の公務員の海外出張の旅費を規定するために使用されるものなのでしょうか。,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,はい、この規定は、さまざまな機関の公務員が海外に出張する際の旅費を規定するために設けられています。
1,海外出張にかかる費用,行政院法規,この行政院の規定は公務出張をどのように定義しているのでしょうか？,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,この規定によると、公務員の出張とは、庁長官の承認を得て、次のいずれかの業務を遂行するために海外に行くことを指します。 1. 外国政府、非政府組織、または国際機関の正式な招待を受けて海外を訪問すること。 1. 外交上の必要に応じて訪問する場合 3. 政府を代表して国際会議や交渉に出席する場合 4. ビジネス上の必要により調査または査察のため海外に行く場合 5. その他の公務
2,海外出張にかかる費用,行政院法規,出張には庁長の承認が必要ですか？,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,はい、出張は代理店の長の承認が必要です。
3,海外出張にかかる費用,行政院法規,どのような業務が出張としてカウントされますか?,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,出張には次の種類の業務が含まれます: 第一に、外国政府、非政府組織、または国際機関の正式な招待に応じて海外を訪問すること、第二に、外交上の必要に応じて関連する訪問を行うこと、企業が調査のために海外に行く必要があることまたは検査、第五に、その他の公務。
4,海外出張にかかる費用,行政院法規,外国政府の正式な招待を受けて外国を訪問することは出張とみなされますか?,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,はい、外国政府の正式な招待による海外訪問も出張としてカウントされます。
5,海外出張にかかる費用,行政院法規,外交訪問であれば出張としてみなされるのでしょうか？,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,はい、外交訪問が政府機関の長によって承認された場合、それは出張とみなされます。
6,海外出張にかかる費用,行政院法規,国際会議に出席する政府代表は出張とみなされますか?,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,国際会議に出席する政府代表は出張とみなされます。
7,海外出張にかかる費用,行政院法規,業務上海外に視察に行く必要があるため、出張の範囲に含まれるのでしょうか？,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,はい、ビジネスで海外に視察に行く必要も出張の範囲に含まれるためです。
8,海外出張にかかる費用,行政院法規,他にどのような公務が出張とみなされますか?,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,出張とみなされるその他の出張には、外国政府、非政府組織、または国際機関の正式な招待による海外訪問、外交上の必要に応じた関連訪問、政府を代表して国際会議や交渉に出席することが含まれます。事業調査・査察等のため海外に行くこと。
9,海外出張にかかる費用,行政院法規,ビジネス旅行者は、仕事の性質や実際のニーズに応じてどのように旅程を組み立てるのでしょうか?,資金調達,ｈっｔｐｓ：／／ぁｗ。ｄｇばｓ。ごｖ。ｔｗ／ぁｗこんてんｔ。あｓｐｘ？いｄ＝ＦＬ０１７５８４＆けｙをｒｄ＝％え５％９Ｃ％８Ｂ％え５％あ４％９６％え５％８７％ば％え５％Ｂ７％あえ％え６％９７％８５％え８％Ｂ２％っｂ％え５％あ０％Ｂ１％え６％９４％あＦ％え８％あ６％８１％え９％っｂ％９え,中央研究院会計事務所,ビジネス旅行者は旅程を調整する際、仕事の性質と実際のニーズに応じて旅程を短くするよう努める必要があります。出張前に旅行日程と日数を代理店長に報告し、同意を得てください。特別な理由がない限り、事前の承諾なしに帰国を延期することはできません。
