index,category,title,question,group,url,contact,answer
0,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Applicazione del programma di ufficio accademico,Quanti tipi di finanziamento del progetto di ricerca accademica competitivo di Academia Sinica ci sono?,l'accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 0 2-2787 2613 Zhang Yuanzhen 02-27872614,"Il finanziamento competitivo del progetto di ricerca accademica di Academia Sinica è suddiviso in tre tipi, vale a dire il primo tipo: coltivazione profonda della ricerca di base, tipo di eccellenza, compresi progetti lungimiranti, progetti di coltivazione profonda e progetti di ricerca tematica;
Il secondo tipo: Perseguire le questioni chiave e le scoperte nei campi emergenti, compresi i principali progetti di avviamento e i principali progetti di ricerca rivoluzionari;
Il terzo tipo: orientato alla missione, compresi progetti di ricerca scientifica sostenibile, progetti di ricerca biotecnologica orientati alla missione, progetti di ricerca sulla risposta alle epidemie, progetti di esplorazione della tecnologia dei materiali e di analisi (iMATE) e progetti di ricerca sulle discipline umanistiche digitali."
1,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Applicazione del programma di ufficio accademico,Quali piani sono inclusi nel perseguimento di scoperte in questioni chiave e campi emergenti?,l'accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,Chen Yijun 02-27872612,Il perseguimento di scoperte in questioni chiave e campi emergenti comprende due tipi: progetti seme chiave rivoluzionari e progetti di ricerca chiave rivoluzionari.
2,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Applicazione del programma di ufficio accademico,Come viene pianificata la pianificazione orientata alle attività?,l'accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhang Yuanzhen 02-27872614,"La pianificazione orientata ai compiti è pianificata dall'alto verso il basso, principalmente sulla base del layout della governance scientifica e tecnologica di Academia Sinica. Tali progetti includono il progetto di ricerca sulla scienza sostenibile, il progetto di ricerca sulla biotecnologia orientato alla missione, il progetto di ricerca sulla risposta all'epidemia, il progetto di esplorazione della tecnologia analitica e dei materiali e il progetto di ricerca sulle scienze umane digitali. In termini di allocazione dei finanziamenti, le disposizioni saranno prese in base al tipo di progetto, integrazione individuale o di gruppo, scala e profondità, valutazione dei benefici e altre condizioni, e saranno riviste in base ai risultati della ricerca della revisione del progetto."
3,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Applicazione del programma di ufficio accademico,In che modo i pertinenti risultati della ricerca pratica della revisione del programma influiranno sull'allocazione dei fondi?,l'accademico,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 0 2-2787 2613 Zhang Yuanzhen 02-27872614,"I risultati della ricerca pratica pertinenti della revisione del piano influenzeranno l'allocazione dei fondi, poiché l'esperienza passata, l'analisi e la revisione saranno riferite durante l'assegnazione dei fondi, quindi il piano di assegnazione del finanziamento sarà rivisto in base ai risultati della ricerca esaminati. Ciò può garantire che i fondi possano sostenere vari tipi di progetti di ricerca in modo più efficace e ottenere migliori risultati di ricerca."
4,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piani di tipo 1 e di tipo 2,"Voglio fare domanda per il primo e il secondo tipo di finanziamento del progetto, come posso iniziare?",l'accademico,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"Se vuoi richiedere il primo e il secondo tipo di finanziamento del progetto, puoi prima informarti sui tipi di finanziamento del progetto di ricerca accademica competitiva di Academia Sinica, che sono suddivisi in progetti lungimiranti, progetti di coltivazione profonda, progetti di ricerca tematica e progetti di avviamento chiave e progetti di ricerca chiave Progetto di ricerca rivoluzionario. Puoi visitare questo sito Web per ulteriori informazioni: https://sub.daais.sinica.edu.tw/grants/index.html. Quando fai domanda, accedi al sistema di gestione dei servizi accademici di Academia Sinica su https://asms.sinica.edu.tw/. Quindi seguire le linee guida del sistema da applicare."
5,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,Come posso partecipare a questo programma?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Per partecipare a questo programma, devi prima essere un assistente ricercatore a tempo pieno, un ricercatore a tempo indeterminato di Academia Sinica o un assistente di ricerca appena assunto o un ricercatore associato non permanente presso vari istituti di ricerca e centri di ricerca di Academia Sinica. Successivamente, fare domanda durante il periodo da marzo a maggio di ogni anno, inviare la lettera di intenti all'inizio di aprile, quindi chiedere all'unità di raccomandazione di inviare le informazioni sul piano cartaceo all'inizio di maggio. Successivamente, è il momento di attendere il processo di revisione preliminare scritta, riesame e revisione finale.A novembre verranno annunciate le domande che superano la revisione e i piani che superano la revisione verranno implementati a gennaio del successivo anno. Ricordati di preparare una proposta di ricerca, un curriculum personale e un catalogo delle opere principali, nonché lettere di raccomandazione e relativi verbali delle riunioni al momento della domanda. Per maggiori informazioni e come candidarsi, visitare il relativo sito web di Academia Sinica."
6,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,Quali sono i materiali applicativi?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"I materiali di candidatura includono proposte di ricerca, curriculum personale e catalogo delle principali opere degli ultimi anni, nonché lettere di raccomandazione e verbali di riunioni di lavoro dell'ufficio o del centro."
7,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,Qual è il periodo di applicazione annuale?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,Il periodo di domanda va da marzo a maggio di ogni anno e una lettera di intenti deve essere presentata all'inizio di aprile.
8,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,Qual è il limite massimo di finanziamento per questo programma?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,Il limite massimo di finanziamento per questo progetto è di NT $ 5 milioni.
9,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,Dove posso trovare ulteriori informazioni sui dettagli del programma?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Per maggiori dettagli sul programma, fare riferimento a questo sito web: https://sub.daais.sinica.edu.tw/grants/cda.html."
10,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,piano avanti,A quale sito web devo accedere per fare domanda per questo programma?,l'accademico,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Per candidarsi a questo programma, è necessario accedere al sistema di gestione dei servizi accademici di Academia Sinica all'indirizzo https://asms.sinica.edu.tw/."
11,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,A cosa serve il piano di coltivazione profonda?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,"Il Deep Cultivation Program è principalmente quello di sostenere e coltivare potenziali ricercatori di Academia Sinica, in modo che possano concentrarsi su ricerche originali su argomenti importanti.Si spera che abbiano risultati di livello mondiale in vari campi, come le scienze della vita, le scienze matematiche , umanistiche e sociali, importante contributo del livello."
12,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Come faccio a richiedere il programma di coltivazione profonda?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,"Per fare domanda per il Deep Cultivation Program, devi prima assicurarti di essere un ricercatore superiore al ricercatore associato a tempo pieno dell'Academia Sinica. Quindi, durante il periodo di domanda da marzo a maggio di ogni anno, la lettera di intenti viene presentata all'inizio di aprile e documenti come il piano di ricerca e il curriculum personale vengono presentati all'inizio di maggio. Fare riferimento ai punti operativi del programma di coltivazione intensiva di Academia Sinica per il contenuto dettagliato dell'applicazione. I piani che superano la revisione verranno implementati nel gennaio dell'anno successivo, con un limite massimo di NT $ 5 milioni. Per ulteriori informazioni, fare riferimento al sito Web pertinente o accedere al sistema di gestione dei servizi accademici di Academia Sinica per candidarsi."
13,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Di quali qualifiche ho bisogno per candidarmi a questo programma?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,"Per candidarsi a questo progetto, il moderatore deve essere un ricercatore superiore al ricercatore associato a tempo pieno di Academia Sinica."
14,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Quanto durerà in totale questo progetto?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,Questo progetto richiederà un totale di 5 anni.
15,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Quando devo fare domanda per il programma?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,"Puoi fare domanda per questo programma da marzo a maggio di ogni anno, inviare una lettera di intenti all'inizio di aprile e quindi presentare una proposta all'inizio di maggio."
16,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Quali sono le fasi di revisione nel processo di candidatura?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,"Ci sono diversi collegamenti di revisione nel processo di candidatura: in primo luogo, studiosi ed esperti nazionali e stranieri conducono una revisione scritta preliminare, quindi i comitati di ciascun gruppo accademico conducono un riesame e infine la riunione di revisione finale congiunta dei tre gruppi accademici. Le domande approvate saranno annunciate a novembre."
17,Modulo di domanda per il programma di ufficio accademico - Programmi di tipo 1 e di tipo 2,Piano di coltivazione profonda,Qual è il limite massimo di finanziamento per il Deep Cultivation Program?,l'accademico,https://www.sinica.edu.tw/ch/articles/231,XuJingping 02-27899351,Il limite massimo di finanziamento per il Deep Cultivation Project è di NT $ 5 milioni.
