index,category,title,question,group,url,contact,answer
0,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,"Wird diese Exekutiv-Yuan-Verordnung speziell dazu verwendet, die Reisekosten von Beamten verschiedener Behörden für Geschäftsreisen ins Ausland festzulegen?",Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Ja, diese Verordnung dient dazu, die Reisekosten von Beamten verschiedener Dienststellen, die ins Ausland reisen, zu regeln."
1,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Wie definiert diese Executive Yuan-Verordnung offizielle Geschäftsreisen?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Nach dieser Regelung handelt es sich bei Dienstreisen für Beamte um die Reise ins Ausland zur Wahrnehmung einer der folgenden Aufgaben nach Genehmigung durch den Dienststellenleiter: 1. Auslandsaufenthalt auf formelle Einladung einer ausländischen Regierung, Nichtregierungsorganisation oder internationalen Organisation Organisation; 2. Besuche als Reaktion auf diplomatische Bedürfnisse; 3. Vertretung der Regierung bei internationalen Konferenzen oder Verhandlungen; 4. Reisen ins Ausland zu Ermittlungs- oder Inspektionszwecken aus geschäftlichen Gründen; 5. Andere offizielle Aufgaben."
2,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Müssen Dienstreisen vom Agenturleiter genehmigt werden?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Ja, Dienstreisen müssen vom Leiter der Agentur genehmigt werden."
3,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Welche Auslandseinsätze können als Dienstreisen angesehen werden?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Geschäftsreisen umfassen die folgenden Arten von Aufgaben: erstens Besuche im Ausland auf offizielle Einladung ausländischer Regierungen, Nichtregierungsorganisationen oder internationaler Organisationen; zweitens Durchführung entsprechender Besuche als Reaktion auf diplomatische Bedürfnisse; das Unternehmen muss zu Ermittlungszwecken ins Ausland gehen oder Inspektion; fünftens andere offizielle Aufgaben."
4,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Gilt der Besuch eines fremden Landes auf formelle Einladung einer ausländischen Regierung als Geschäftsreise?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Ja, auch ein Auslandsaufenthalt auf formelle Einladung einer ausländischen Regierung gilt als Geschäftsreise."
5,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Kann ein diplomatischer Besuch als Geschäftsreise gezählt werden?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Ja, wenn ein diplomatischer Besuch vom Leiter der Agentur genehmigt wird, gilt er als Geschäftsreise."
6,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Zählt die Teilnahme eines Regierungsvertreters an einer internationalen Konferenz als Geschäftsreise?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Als Geschäftsreisen gelten Regierungsvertreter, die an internationalen Konferenzen teilnehmen."
7,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,"Gehört es auch zu den Geschäftsreisen, weil das Unternehmen zur Inspektion ins Ausland muss?",Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Ja, denn auch die Fahrt ins Ausland zur Besichtigung gehört zum Leistungsumfang von Geschäftsreisen."
8,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Welche Geschäftsreisen ins Ausland gelten als Dienstreisen?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Zu den Geschäftsreisen, die als Geschäftsreisen angesehen werden können, gehören: Auslandsaufenthalte auf offizielle Einladung ausländischer Regierungen, Nichtregierungsorganisationen oder internationaler Organisationen, die Durchführung entsprechender Besuche aufgrund diplomatischer Bedürfnisse, die Teilnahme an internationalen Konferenzen oder Verhandlungen im Namen der Regierung usw Aus geschäftlichen Gründen usw. zur Untersuchung oder Inspektion ins Ausland gehen."
9,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Wie gestalten Geschäftsreisende ihre Reiseroute entsprechend der Art der Aufgabe und den tatsächlichen Bedürfnissen?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Bei der Zusammenstellung der Reiseroute sollten Geschäftsreisende versuchen, die Reiseroute entsprechend der Art der Aufgabe und den tatsächlichen Bedürfnissen kurz zu halten. Bevor Sie eine Geschäftsreise antreten, teilen Sie dem Leiter der Agentur den Reiseverlauf und die Anzahl der Tage mit und holen Sie dessen Zustimmung ein. Die Rückkehr nach Hause kann nicht ohne vorherige Zustimmung verschoben werden, es sei denn, es liegen besondere Gründe vor."
10,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,"Welcher Agenturleiter benötigt vor einer Geschäftsreise eine Genehmigung, um den Reiseverlauf und die Anzahl der Tage festzulegen?",Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,Vor einer Geschäftsreise ist eine Unterschrift und Meldung beim Leiter der Agentur erforderlich. Nach dessen Genehmigung kann der Reiseverlauf und die Anzahl der Tage festgelegt werden.
11,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,"Wenn es Gründe gibt, die dem Reisenden zuzuschreiben sind, wie ist mit der verspäteten Rückgabe der Reiseroute umzugehen?",Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Wenn ein Geschäftsreisender aus Gründen, die er nicht zu vertreten hat, die Reiseroute für die Heimreise verlängern muss, muss dies vorab mit dem Leiter der Agentur genehmigt werden."
12,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Welche Spesen sind in den Reisekosten enthalten?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Zu den Reisekosten zählen vor allem Transportkosten, Lebenshaltungskosten und Bürokosten. Zu den Transportkosten zählen unter anderem die Ausgaben für Flugzeuge, Schiffe und öffentliche Fernverkehrsmittel auf dem Landweg, zu den Lebenshaltungskosten gehören Kosten für Unterkunft, Verpflegung und Taschengeld, und zu den Bürokosten gehören Bearbeitungsgebühren, Versicherungsgebühren und Verwaltungsgebühren für Auslandsreisen Gebühren, Geschenke und Kommunikations- sowie sonstige Ausgaben. Zu den Nebenkosten in den Lebenshaltungskosten zählen Fahrkartengebühren für den öffentlichen Nahverkehr, Bearbeitungsgebühren für Kreditkarten, Wäschegebühren, Trinkgelder und andere lebensbezogene Ausgaben. Zu den Geschenkkommunikations- und sonstigen Ausgaben zählen Geschenkkosten, Bewirtungskosten, Taxifahrten und Mietwagengebühren usw."
13,Kosten für Auslandsdienstreisen,Vorschriften des Exekutiv-Yuan,Worauf beziehen sich die Nebenkosten in den Lebenshaltungskosten?,Finanzierung,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Buchhaltungsbüro der Academia Sinica,"Zu den Nebenkosten in den Lebenshaltungskosten zählen hauptsächlich S-Bahn-Fahrkarten, Stadtbus-Fahrkarten, Stadt-MRT-Fahrkarten, Bearbeitungsgebühren für persönliche Kreditkarten, Wäschegebühren, Trinkgelder und andere Ausgaben im Zusammenhang mit dem täglichen Leben."
