index,category,title,question,group,url,contact,answer
0,Супутні послуги Інформаційної служби,Супутні послуги Інформаційної служби,За підтримку яких сфер роботи в основному відповідає Відділ інформаційних послуг?,Інформація,хттпс://ітс.синица.еду.тв/постс/117049,Стійка довідкової служби 02-2789-8855,Офіс інформаційної служби головним чином відповідає за підтримку дослідницької роботи та комп’ютеризацію адміністративної діяльності різних підрозділів Academia Sinica.
1,Супутні послуги Інформаційної служби,Супутні послуги Інформаційної служби,Які фактори буде враховувати Офіс інформаційних послуг під час просування відповідних пропозицій?,Інформація,хттпс://ітс.синица.еду.тв/постс/117049,Стійка довідкової служби 02-2789-8855,"Під час просування відповідних програм Офіс інформаційної служби враховуватиме тенденцію розвитку ІТ-додатків і потреби лікарні в послугах, щоб своєчасно запустити програми, які можуть допомогти покращити дослідницьке робоче середовище та підвищити ефективність адміністративних операцій."
2,Супутні послуги Інформаційної служби,Супутні послуги Інформаційної служби,Які дві категорії послуг вони надають?,Інформація,хттпс://ітс.синица.еду.тв/постс/117049,Стійка довідкової служби 02-2789-8855,"Послуги, які вони надають, в основному поділяються на дві категорії: спільні послуги для всієї лікарні та спеціальні адміністративні послуги. Спільна послуга для всієї лікарні – це послуга, пов’язана з інформацією, для колег з Academia Sinica, тоді як адміністративна послуга – це пов’язана послуга для адміністративного та інформаційного персоналу."
3,Супутні послуги Інформаційної служби,Супутні послуги Інформаційної служби,Для кого надаються спільні послуги в лікарні?,Інформація,хттпс://ітс.синица.еду.тв/постс/117049,Стійка довідкової служби 02-2789-8855,Спільний сервіс для всієї лікарні надається колегам Academia Sinica.
4,Супутні послуги Інформаційної служби,Супутні послуги Інформаційної служби,"Де я можу запитати про конкретні послуги та контент, які надає Офіс інформаційної служби?",Інформація,хттпс://ітс.синица.еду.тв/постс/117049,Стійка довідкової служби 02-2789-8855,Ви можете отримати запит на веб-сайті Офісу інформаційної служби за адресою https://its.sinica.edu.tw.
5,Спільні послуги для всієї лікарні,Спільні послуги для всієї лікарні,"Які комплексні послуги, інформація про мережу та інформація про книги входять до спільної послуги для всієї лікарні?",Інформація,хттпс://ітс.синица.еду.тв,Стійка довідкової служби 02-2789-8855,"Спільні послуги Academia Sinica для всієї лікарні включають три категорії: комплексний бізнес, мережева інформація та інформація про книги. Що стосується конкретного вмісту та використання різних служб, ви можете перейти на їхній веб-сайт, щоб перевірити, URL-адреса https://its.sinica.edu.tw."
6,Спільні послуги в масштабах лікарні – комплексний бізнес,Програма для облікового запису співробітника (SSO) і налаштування пароля,Коли я можу подати заявку на обліковий запис для персоналу (SSO)?,Інформація,хттпс://ітс.синица.еду.тв/пагес/3256,Стійка довідкової служби 02-2789-8855,"Після того, як ви прийдете на роботу та завершите процедури реєстрації, ви можете перейти до системи «Адміністративні послуги лікарні», щоб подати заявку на обліковий запис персоналу (SSO)."
7,Спільні послуги в масштабах лікарні – комплексний бізнес,Програма для облікового запису співробітника (SSO) і налаштування пароля,Чи буде лист-нагадування до закінчення терміну дії пароля?,Інформація,хттпс://ітс.синица.еду.тв/пагес/3256,Стійка довідкової служби 02-2789-8855,"Так, система надішле вам лист-нагадування за 7, 3 або 1 день до закінчення терміну дії пароля, повідомляючи, що вам потрібно змінити пароль."
8,Спільні послуги в масштабах лікарні – комплексний бізнес,Програма для облікового запису співробітника (SSO) і налаштування пароля,Як мені відновити забутий пароль?,Інформація,хттпс://ітс.синица.еду.тв/пагес/3256,Стійка довідкової служби 02-2789-8855,"Якщо ви забули пароль або він недійсний, ви можете перейти до системи «Інституційна адміністративна служба» (https://ssoz.apps.sinica.edu.tw/), щоб скинути пароль облікового запису співробітника. Під час скидання пароля вам потрібно підтвердити свою особу через прив’язану резервну поштову скриньку, а потім ви зможете скинути пароль."
9,Спільні послуги в масштабах лікарні – комплексний бізнес,Програма для облікового запису співробітника (SSO) і налаштування пароля,На які принципи слід звернути увагу при встановленні паролів?,Інформація,хттпс://ітс.синица.еду.тв/пагес/3256,Стійка довідкової служби 02-2789-8855,"Під час встановлення пароля слід звернути увагу на наступні принципи: довжина пароля має бути більше 8 символів, верхній і нижній регістри вважаються різними паролями, і включати принаймні один буквено-цифровий пароль. Не використовуйте повторно паролі, які були встановлені останні 10 разів. Якщо використовуються спеціальні символи, уникайте одинарних лапок ('), подвійних лапок (""), зворотних скісних риск (\\) і пробілів (пробіл)."
10,Спільні послуги в масштабах лікарні – комплексний бізнес,Програма для облікового запису співробітника (SSO) і налаштування пароля,Як змінити прив’язану резервну поштову скриньку?,Інформація,хттпс://ітс.синица.еду.тв/пагес/3256,Стійка довідкової служби 02-2789-8855,"Щоб змінити прив’язану резервну поштову скриньку, необхідно заповнити «Форму заявки на налаштування персональної резервної електронної пошти», а потім надіслати її безпосередньо до офісу інформаційної служби для налаштування."
11,Спільні послуги в масштабах лікарні – комплексний бізнес,єдине сервісне вікно,З якими типами інформаційних проблем мені може допомогти Єдине вікно?,Інформація,хттпс://ітс.синица.еду.тв/пагес/1672,Стійка довідкової служби 02-2789-8855,"Єдине вікно обслуговування може допомогти вам вирішити різноманітні проблеми, пов’язані з інформаційною системою Academia Sinica, яку надає Офіс інформаційної служби, дозволяючи вирішити проблеми в найкоротші терміни!"
12,Спільні послуги в масштабах лікарні – комплексний бізнес,єдине сервісне вікно,"Як я можу зв'язатися з вами, якщо у мене виникла проблема в неробочий час?",Інформація,хттпс://ітс.синица.еду.тв/пагес/1672,Стійка довідкової служби 02-2789-8855,"Якщо у вас виникнуть проблеми в неробочий час, ви можете надіслати нам листа на its@gate.sinica.edu.tw або зателефонувати нам за номером (02)2789-8855, не забудьте залишити свою контактну інформацію, ми зв’яжемося ви в робочий час. Якщо це екстрена ситуація, ви також можете зв’язатися з нами через інформаційний персонал кожного інституту."
13,Спільні послуги в масштабах лікарні – комплексний бізнес,єдине сервісне вікно,Які переваги використання віртуальної онлайн-довідкової служби для надсилання запитів?,Інформація,хттпс://ітс.синица.еду.тв/пагес/1672,Стійка довідкової служби 02-2789-8855,"Надсилання запитів через віртуальну службу обслуговування в режимі он-лайн має багато переваг, таких як спільний доступ до екранів, написання текстових повідомлень, увімкнення мікрофонів і відеодзвінків, щоб персонал служби міг зрозуміти ваші методи роботи в режимі реального часу, підвищуючи ефективність зв’язку та швидкість вирішення проблеми вирішення."
14,Спільні послуги в масштабах лікарні – комплексний бізнес,єдине сервісне вікно,"Який номер потрібно набрати, якщо я хочу зателефонувати особисто?",Інформація,хттпс://ітс.синица.еду.тв/пагес/1672,Стійка довідкової служби 02-2789-8855,"Якщо ви бажаєте зателефонувати та проконсультуватися особисто, ви можете набрати номер 02-2789-8855."
15,Спільні послуги в масштабах лікарні – комплексний бізнес,єдине сервісне вікно,Які години роботи служби обслуговування?,Інформація,хттпс://ітс.синица.еду.тв/пагес/1672,Стійка довідкової служби 02-2789-8855,Стійка обслуговування працює з 8:30 до 12:20 та з 13:20 до 17:00.
