index,category,title,question,group,url,contact,answer
0,Витрати на закордонні відрядження,Виконавчий юань,Чи використовується цей нормативний акт щодо юанів спеціально для визначення витрат на відрядження державних службовців різних відомств під час відряджень за кордон?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Так, це положення встановлюється з метою врегулювання витрат на відрядження державних службовців різних відомств, які виїжджають за кордон."
1,Витрати на закордонні відрядження,Виконавчий юань,Як це положення про юані визначає офіційні відрядження?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Згідно з цим положенням під службовими відрядженнями державних службовців розуміється виїзд за кордон для виконання одного з таких завдань після погодження з керівником відомства: 1. Відвідування за кордоном на офіційне запрошення іноземного уряду, неурядової організації або міжнародної організації. організація; 2. Відвідування у відповідь на дипломатичні потреби; 3. Представництво уряду; участь у міжнародних конференціях або переговорах; 4. Виїзд за кордон для розслідування чи інспекції через ділові потреби; 5. Інші офіційні обов’язки."
2,Витрати на закордонні відрядження,Виконавчий юань,Чи має відрядження погоджуватися керівником установи?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Так, відрядження мають бути погоджені керівником агентства."
3,Витрати на закордонні відрядження,Виконавчий юань,Які завдання вважаються відрядженнями?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Ділові поїздки включають такі види завдань: по-перше, відвідати кордон на офіційне запрошення іноземних урядів, неурядових організацій або міжнародних організацій; по-друге, провести відповідні візити у відповідь на дипломатичні потреби; Бізнес повинен виїхати за кордон для розслідування або перевірка; по-п'яте, інші службові обов'язки."
4,Витрати на закордонні відрядження,Виконавчий юань,Чи вважається відвідування іноземної країни за офіційним запрошенням іноземного уряду відрядженням?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Так, візит за кордон на офіційне запрошення іноземного уряду також вважається відрядженням."
5,Витрати на закордонні відрядження,Виконавчий юань,"Якщо це дипломатичний візит, чи можна його зарахувати до відрядження?",фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Так, якщо дипломатичний візит погоджений керівником відомства, він вважається відрядженням."
6,Витрати на закордонні відрядження,Виконавчий юань,"Чи вважається відрядженням представник влади, який бере участь у міжнародній конференції?",фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Відрядженнями вважаються представники влади, які беруть участь у міжнародних конференціях."
7,Витрати на закордонні відрядження,Виконавчий юань,"Це також входить до складу відряджень, тому що бізнес повинен виїхати за кордон на перевірку?",фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Так, тому що бізнес-виїзд за кордон для перевірки також входить до сфери відряджень."
8,Витрати на закордонні відрядження,Виконавчий юань,Які ще службові обов'язки можна вважати відрядженнями?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"До інших службових відряджень, які можна вважати відрядженнями, відносяться: відвідування кордону на офіційне запрошення іноземних урядів, неурядових організацій або міжнародних організацій, здійснення відповідних візитів у відповідь на дипломатичні потреби, участь у міжнародних конференціях або переговорах від імені уряду, і виїзд за кордон для ділових розслідувань чи перевірок тощо."
9,Витрати на закордонні відрядження,Виконавчий юань,Як бізнес-мандрівники складають свій маршрут відповідно до характеру завдання та реальних потреб?,фінансування,хттпс://лав.дґбас.гов.тв/Лавцонтент.аспх?ід=ФЛ017584&Кейворд=%Е5%ЯЦ%8Б%Е5%Ач%ящ%Е5%87%БА%Е5%Бщ%АЄ%Еш%ящ%85%Е8%Б2%ББ%Е5%А0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Бухгалтерія Academia Sinica,"Складаючи маршрут, ділові мандрівники повинні намагатися зробити його коротким відповідно до характеру завдання та реальних потреб. Перед поїздкою у відрядження повідомте керівнику агентства маршрут і кількість днів і отримайте їх згоду. Повернення додому не може бути відкладено без попередньої згоди, якщо немає особливих причин."
