index,category,title,question,group,url,contact,answer
0,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,Ứng dụng chương trình văn phòng học thuật,Có bao nhiêu loại tài trợ dự án nghiên cứu học thuật cạnh tranh của Academia Sinica?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Baihua 02-2787 2 613 Zhang Yuanzhen 02-27872614,"Tài trợ dự án nghiên cứu học thuật cạnh tranh của Academia Sinica được chia thành ba loại, cụ thể là loại thứ nhất: nghiên cứu cơ bản chuyên sâu, loại xuất sắc, bao gồm các dự án hướng tới tương lai, dự án chuyên sâu và dự án nghiên cứu chủ đề;
Loại thứ hai: Theo đuổi các vấn đề trọng điểm và đột phá trong các lĩnh vực mới nổi, bao gồm các dự án hạt giống đột phá trọng điểm và các dự án nghiên cứu đột phá trọng điểm;
Loại thứ ba: định hướng nhiệm vụ, bao gồm các dự án nghiên cứu khoa học bền vững, dự án nghiên cứu công nghệ sinh học định hướng nhiệm vụ, dự án nghiên cứu ứng phó dịch bệnh, dự án khám phá công nghệ phân tích và vật liệu (iMATE) và dự án nghiên cứu nhân văn kỹ thuật số."
1,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,Ứng dụng chương trình văn phòng học thuật,Những kế hoạch nào được bao gồm trong việc theo đuổi các đột phá trong các vấn đề chính và các lĩnh vực mới nổi?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,Trần Nhất Quân 02-27872612,Việc theo đuổi các đột phá trong các vấn đề then chốt và các lĩnh vực mới nổi bao gồm hai loại: các dự án hạt giống đột phá then chốt và các dự án nghiên cứu đột phá then chốt.
2,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,Ứng dụng chương trình văn phòng học thuật,Lập kế hoạch định hướng nhiệm vụ là lập kế hoạch như thế nào?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhang Yuanzhen 02-27872614,"Lập kế hoạch theo định hướng nhiệm vụ được lên kế hoạch từ trên xuống dưới, chủ yếu dựa trên cách bố trí quản trị khoa học và công nghệ của Academia Sinica. Các dự án này bao gồm Dự án Nghiên cứu Khoa học Bền vững, Dự án Nghiên cứu Công nghệ Sinh học Định hướng Sứ mệnh, Dự án Nghiên cứu Ứng phó Dịch bệnh, Dự án Khám phá Công nghệ Phân tích và Vật liệu và Dự án Nghiên cứu Nhân văn Kỹ thuật số. Về phân bổ kinh phí, sắp xếp sẽ được thực hiện theo loại dự án, cá nhân hoặc nhóm tích hợp, quy mô và chiều sâu, đánh giá lợi ích và các điều kiện khác, và sẽ được sửa đổi theo kết quả nghiên cứu của việc xem xét dự án."
3,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,Ứng dụng chương trình văn phòng học thuật,Các kết quả nghiên cứu thực tế liên quan của việc xem xét lại chương trình sẽ ảnh hưởng như thế nào đến việc phân bổ kinh phí?,học thuật,https://sub.daais.sinica.edu.tw/grants/about.htmll,Li Liwen 02-27892575 Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Baihua 02-2787 2 613 Zhang Yuanzhen 02-27872614,"Kết quả nghiên cứu thực tế có liên quan của việc xem xét kế hoạch sẽ ảnh hưởng đến việc phân bổ kinh phí, bởi vì kinh nghiệm và phân tích và đánh giá trong quá khứ sẽ được đề cập khi phân bổ kinh phí, sau đó kế hoạch phân bổ kinh phí sẽ được sửa đổi theo kết quả nghiên cứu đã xem xét. Điều này có thể đảm bảo rằng các quỹ có thể hỗ trợ các loại dự án nghiên cứu khác nhau hiệu quả hơn và đạt được kết quả nghiên cứu tốt hơn."
4,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,Kế hoạch loại 1 và loại 2,"Tôi muốn đăng ký loại tài trợ dự án thứ nhất và thứ hai, tôi phải bắt đầu như thế nào?",học thuật,https://sub.daais.sinica.edu.tw/grants/index.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386 Li Jiayin 02-27899476 Jian Meixiu 02-27899676 Chen Yijun 02-27872612 Bai Qianhua 02-27872613,"Nếu bạn muốn đăng ký loại tài trợ dự án thứ nhất và thứ hai, trước tiên bạn có thể hỏi về các loại tài trợ dự án nghiên cứu học thuật cạnh tranh của Academia Sinica, được chia thành các dự án hướng tới tương lai, dự án đào sâu, dự án nghiên cứu chủ đề và dự án hạt giống đột phá trọng điểm và dự án nghiên cứu trọng điểm.Dự án nghiên cứu đột phá. Bạn có thể truy cập trang web này để biết thêm thông tin: https://sub.daais.sinica.edu.tw/grants/index.html. Khi đăng ký, hãy đăng nhập vào hệ thống quản lý dịch vụ học thuật của Academia Sinica tại https://asms.sinica.edu.tw/. Sau đó làm theo các hướng dẫn hệ thống để áp dụng."
5,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,kế hoạch phía trước,Làm thế nào tôi có thể tham gia vào chương trình này?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Để tham gia chương trình này, trước tiên bạn phải là trợ lý nghiên cứu toàn thời gian, nghiên cứu viên không cố định của Academia Sinica hoặc trợ lý nghiên cứu mới được tuyển dụng hoặc cộng tác viên nghiên cứu không cố định tại các viện nghiên cứu và trung tâm nghiên cứu khác nhau của Academia Sinica. Tiếp theo, nộp đơn trong khoảng thời gian từ tháng 3 đến tháng 5 hàng năm, gửi thư bày tỏ ý định vào đầu tháng 4, sau đó yêu cầu đơn vị giới thiệu nộp thông tin kế hoạch giấy vào đầu tháng 5. Sau đó là thời gian chờ quá trình xét sơ bộ, phúc khảo và xét duyệt cuối cùng bằng văn bản, trong tháng 11 sẽ công bố những hồ sơ vượt qua vòng xét duyệt, kế hoạch vượt qua vòng xét duyệt sẽ được triển khai vào tháng 1 năm sau năm. Hãy nhớ chuẩn bị một đề xuất nghiên cứu, sơ yếu lý lịch cá nhân và danh mục các tác phẩm chính, cũng như thư giới thiệu và biên bản cuộc họp có liên quan khi nộp đơn. Để biết thêm thông tin và cách đăng ký, vui lòng truy cập trang web có liên quan của Academia Sinica."
6,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,kế hoạch phía trước,các tài liệu ứng dụng là gì?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Các tài liệu ứng dụng bao gồm đề xuất nghiên cứu, sơ yếu lý lịch cá nhân và danh mục các tác phẩm chính trong những năm gần đây, cũng như thư giới thiệu và biên bản cuộc họp kinh doanh của văn phòng hoặc trung tâm."
7,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,kế hoạch phía trước,Thời gian nộp đơn hàng năm là khi nào?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,Thời gian nộp đơn là từ tháng 3 đến tháng 5 hàng năm và thư bày tỏ ý định cần được nộp vào đầu tháng 4.
8,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,kế hoạch phía trước,Giới hạn trên của tài trợ cho chương trình này là gì?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,Giới hạn tài trợ tối đa cho dự án này là 5 triệu Đài tệ.
9,Đơn đăng ký chương trình văn phòng học thuật - Chương trình loại 1 và loại 2,kế hoạch phía trước,Tôi có thể tìm hiểu thêm về chi tiết chương trình ở đâu?,học thuật,https://sub.daais.sinica.edu.tw/grants/cda.html,Zhao Wanling 02-27898067 Xu Jingping 02-27899351 Zeng Jinzheng 02-27899386,"Để biết thêm chi tiết về chương trình, vui lòng tham khảo trang web này: https://sub.daais.sinica.edu.tw/grants/cda.html."
